,all_prices,avg_rating,ios_prices,list_price,name,num_voters,page_no,rank,rating,year
1493,"

			List: $34.95
		

Lowest Amazon: $60.00


New Amazon: $140.00

","
			6.52		","
New Amazon: $140.00
","
			List: $34.95
		",Illuminati (Second Edition),"
			4601		",15,1471,"
			6.232		",-1987
1494,,"
			7.73		","

			List: $49.99
		

New Amazon: $39.11




","]
					",The Great Battles of Alexander: Deluxe Edition,"
			642		",15,1472,"
			6.232		",-1995
1495,"

			List: $49.99
		

New Amazon: $39.11




","
			6.88		",,"
			List: $49.99
		",Tanto Cuore,"
			1680		",15,1473,"
			6.231		",-2009
1496,"

			List: $24.99
		

New Amazon: $34.99

","
			6.79		",,"
			List: $24.99
		",Perry Rhodan: The Cosmic League,"
			1576		",15,1474,"
			6.230		",-2007
1497,"
","
			7.12		","

New Amazon: $48.37


","
														
													[",DungeonQuest Revised Edition,"
			1174		",15,1475,"
			6.230		",-2014
1498,"

New Amazon: $48.37

","
			6.43		","
Kingsport Festival
(2014)
","
",Keltis,"
			5022		",15,1476,"
			6.229		",-2008
1499,"

			List: $59.99
		

Lowest Amazon: $11.72


New Amazon: $22.49




","
			6.78		","
New Amazon: $22.49



","
			List: $59.99
		",Kingsport Festival,"
			1775		",15,1477,"
			6.228		",-2014
1500,,"
			8.13		","

			List: $10.35
		

New Amazon: $10.31




","]
					",Escape the Dark Castle,"
			1138		",15,1478,"
			6.228		",-2017
1501,"

			List: $10.35
		

New Amazon: $10.31




","
			6.52		",,"
			List: $10.35
		",The Builders: Middle Ages,"
			3370		",15,1479,"
			6.228		",-2013
1502,"

Lowest Amazon: $89.95


New Amazon: $149.95

","
			7.36		",,"
",Habitats,"
			814		",15,1480,"
			6.228		",-2016
1503,"

			List: $32.99
		

Lowest Amazon: $22.00


New Amazon: $30.28




","
			6.44		","
New Amazon: $30.28



","
			List: $32.99
		",Abalone,"
			5488		",15,1481,"
			6.227		",-1987
1504,"

New Amazon: $18.95

","
			6.73		","
Asante
(2013)
","
",Greed,"
			1850		",15,1482,"
			6.227		",-2014
1505,"

			List: $29.99
		

Lowest Amazon: $99.99


New Amazon: $139.99




","
			6.91		","
New Amazon: $139.99



","
			List: $29.99
		",Asante,"
			1341		",15,1483,"
			6.226		",-2013
1506,"

			List: $31.99
		

Lowest Amazon: $14.99


New Amazon: $21.65




","
			6.39		","
New Amazon: $21.65



","
			List: $31.99
		",Labyrinth,"
			8578		",15,1484,"
			6.226		",-1986
1507,"
","
			6.71		","

			List: $49.99
		

New Amazon: $49.99





","
														
													[",Blockers!,"
			1827		",15,1485,"
			6.225		",-2007
1508,"

			List: $49.99
		

New Amazon: $49.99




","
			6.73		",,"
			List: $49.99
		",Code 777,"
			1777		",15,1486,"
			6.225		",-1985
1509,"

			List: $64.99
		

New Amazon: $38.99

","
			6.81		",,"
			List: $64.99
		",Helios,"
			1514		",15,1487,"
			6.225		",-2014
1510,,"
			7.05		",,"]
					",Waggle Dance,"
			1115		",15,1488,"
			6.224		",-2014
1511,,"
			6.65		",,"]
					",Warhammer: The Mass Combat Fantasy Roleplaying Game (1st Edition),"
			2507		",15,1489,"
			6.224		",-1983
1512,,"
			7.50		","
","]
					",Sprawlopolis,"
			734		",15,1490,"
			6.224		",-2018
1513,"
","
			6.59		","
Poseidon
(2010)
","
",Inkognito,"
			2713		",15,1491,"
			6.223		",-1988
1514,"
","
			7.04		",,"
														
													[",Poseidon,"
			1054		",15,1492,"
			6.223		",-2010
1515,,"
			6.66		",,"]
					",Escape from Colditz,"
			2605		",15,1493,"
			6.223		",-1973
1516,,"
			7.14		","

			List: $49.95
		

Used Amazon: $150.00

","]
					",Last Train to Wensleydale,"
			949		",15,1494,"
			6.222		",-2009
1517,"

			List: $49.95
		

Used Amazon: $150.00

","
			6.88		",,"
			List: $49.95
		",Wiz-War,"
			1573		",15,1495,"
			6.222		",-1983
1518,"

			List: $39.99
		
","
			6.92		","
Circus Flohcati
(1998)
","
			List: $39.99
		",Safranito,"
			1292		",15,1496,"
			6.222		",-2010
1519,"
","
			6.62		","

			List: $65.00
		

New Amazon: $68.95


","
														
													[",Circus Flohcati,"
			2341		",15,1497,"
			6.222		",-1998
1520,"

			List: $65.00
		

New Amazon: $68.95

","
			7.65		",,"
			List: $65.00
		",Strike of the Eagle,"
			649		",15,1498,"
			6.221		",-2011
1521,"

Used Amazon: $189.99

","
			7.65		","
Verräter
(1998)
","
",Unhappy King Charles!,"
			660		",15,1499,"
			6.221		",-2008
1522,"
								Geekdo, BoardGameGeek, the Geekdo logo, and the BoardGameGeek logo are trademarks of BoardGameGeek, LLC.
							","
			6.72		",,"]
					",Verräter,"
			1805		",15,1500,"
			6.221		",-1998
1523,"

			List: $12.99
		

New Amazon: $18.85

","
			5.46		",,"
			List: $12.99
		",Battleship Express,"
			295		",150,14901,"
			5.487		",-2007
1524,,"
			5.67		","
Simon Flash
(2011)
","]
					",The American Civil War,"
			381		",150,14902,"
			5.487		",-2001
1525,"

			List: $29.99
		

Lowest Amazon: $10.00


New Amazon: $17.00




","
			4.98		","
New Amazon: $17.00



","
			List: $29.99
		",Simon Flash,"
			30		",150,14904,"
			5.487		",-2011
1526,,"
			5.15		","
Blockhead!
(1952)
","]
					",Mana Burn,"
			34		",150,14917,"
			5.487		",-1998
1527,"

			List: $12.99
		

Lowest Amazon: $11.99


New Amazon: $12.99




","
			5.47		","
New Amazon: $12.99



","
			List: $12.99
		",Blockhead!,"
			254		",150,14919,"
			5.487		",-1952
1528,"

Lowest Amazon: $7.95


New Amazon: $12.19




","
			4.86		",,"
",Star Wars Force Grab,"
			32		",150,14924,"
			5.486		",-2014
1529,"

			List: $25.00
		

Lowest Amazon: $10.95


New Amazon: $19.99




","
			5.51		","
New Amazon: $19.99



","
			List: $25.00
		",Blurt!,"
			262		",150,14940,"
			5.486		",-1999
1530,"

			List: $39.99
		

Lowest Amazon: $19.99


New Amazon: $49.73

","
			5.52		","
New Amazon: $49.73
","
			List: $39.99
		",Scene It? Movie,"
			1356		",150,14946,"
			5.486		",-2002
1531,"

			List: $89.99
		

New Amazon: $44.13




","
			5.19		",,"
			List: $89.99
		",Robotech RPG Tactics,"
			108		",150,14948,"
			5.486		",-2014
1532,,"
			5.35		","

			List: $39.90
		

Lowest Amazon: $14.95


New Amazon: $20.36




","]
					",Banditos,"
			73		",150,14952,"
			5.486		",-2012
1533,"

			List: $39.90
		

Lowest Amazon: $14.95


New Amazon: $20.36




","
			5.41		","
New Amazon: $20.36



","
			List: $39.90
		",Spooky Castle,"
			87		",150,14953,"
			5.486		",-2016
1534,,"
			5.26		","
Fight City
(1999)
","]
					",Falklands Showdown: The 1982 Anglo-Argentine War,"
			43		",150,14954,"
			5.486		",-2011
1535,"

			List: $10.95
		

New Amazon: $6.95

","
			5.32		",,"
			List: $10.95
		",UnNatural Selection,"
			89		",150,14961,"
			5.486		",-2013
1536,"

New Amazon: $24.95

","
			5.33		","
Paititi
(2014)
","
",CLASH: Jihad vs. McWorld,"
			148		",150,14963,"
			5.486		",-2012
1537,,"
			5.28		","
Shit Happens
(2016)
","]
					",Chainmail,"
			79		",150,14974,"
			5.485		",-1971
1538,,"
			4.80		","
Zoon
(1999)
","]
					",Zombie Mania!,"
			32		",150,14985,"
			5.485		",-2014
1539,,"
			5.16		","
Lang lebe der König!
(1997)
","]
					",Heroes of Might & Magic IV Collectible Card & Tile Game,"
			52		",150,14989,"
			5.485		",-2005
1540,"

Lowest Amazon: $42.98


New Amazon: $49.99




","
			5.43		",,"
",Mission Command Land,"
			193		",150,14998,"
			5.485		",-2003
1541,"
","
			5.51		",,"
														
													[",Ergo,"
			189		",151,15004,"
			5.485		",-2009
1542,"

Lowest Amazon: $18.95


New Amazon: $34.92




","
			4.91		",,"
",Survivor: The Game,"
			31		",151,15019,"
			5.485		",-2005
1543,"

Used Amazon: $40.00

","
			5.52		","
60 Seconds to Save the World
(2017)
","
",Miskatonic School for Girls,"
			742		",151,15027,"
			5.485		",-2012
1544,"

Lowest Amazon: $11.99


New Amazon: $16.49




","
			5.15		",,"
",60 Seconds to Save the World,"
			57		",151,15028,"
			5.485		",-2017
