,name,rating,avg_rating,year,rank,page_no,num_voters,list_price,ios_prices,all_prices
5700,Chronicles of Frost,5.65,7.50,2018.00,5145.00,52.00,110.00,,The Walking Dead Board Game: The Best Defense(2013),New Amazon: $35.99
5701,The Walking Dead Board Game: The Best Defense,5.65,6.13,2013.00,5146.00,52.00,454.00,39.99,New Amazon: $21.99,List: $39.99Lowest Amazon: $11.99New Amazon: $21.99
5702,"April's Harvest: The Battle of Shiloh, April 6 & 7, 1862",5.65,7.09,1995.00,5147.00,52.00,141.00,,List: $12.99New Amazon: $4.95,
5703,Romans Go Home!,5.65,6.05,2013.00,5148.00,52.00,485.00,12.99,,List: $12.99New Amazon: $4.95
5704,Flashpoint: Golan,5.65,7.21,1991.00,5150.00,52.00,146.00,,List: $29.99New Amazon: $17.95,
5705,Steam Torpedo: First Contact,5.65,6.25,2011.00,5151.00,52.00,363.00,29.99,,List: $29.99New Amazon: $17.95
5706,La Bataille d'Orthez,5.65,7.83,2000.00,5153.00,52.00,98.00,,,
5707,Somme 1918,5.65,7.94,2012.00,5154.00,52.00,83.00,,Panzer General: Allied Assault(2010),
5708,Panzer General: Allied Assault,5.65,6.40,2010.00,5156.00,52.00,336.00,59.99,,List: $59.99New Amazon: $49.95
5709,Birds of Prey: Air Combat in the Jet Age,5.65,7.49,2008.00,5158.00,52.00,129.00,,,
5710,Wool Rules,5.65,6.01,2007.00,5160.00,52.00,556.00,,Splash!(2014),New Amazon: $49.99
5711,Baptism By Fire: The Battle of Kasserine,5.65,8.35,2017.00,5162.00,52.00,90.00,,Dilbert: Corporate Shuffle(1997),New Amazon: $49.99
5712,Dilbert: Corporate Shuffle,5.65,5.98,1997.00,5163.00,52.00,600.00,,,
5713,Four Tribes,5.65,7.16,2013.00,5165.00,52.00,131.00,,,
5714,Siesta,5.65,6.29,1999.00,5166.00,52.00,297.00,,,
5715,Red Dragon Rising: The Coming War With China,5.65,7.19,2008.00,5167.00,52.00,121.00,,Ancients(1986),
5716,Ancients,5.65,6.74,1986.00,5169.00,52.00,164.00,,List: $14.95Lowest Amazon: $12.95New Amazon: $14.95,
5717,Fool!,5.65,6.84,2018.00,5170.00,52.00,157.00,14.95,New Amazon: $14.95,List: $14.95Lowest Amazon: $12.95New Amazon: $14.95
5718,Careers,5.65,5.80,1955.00,5173.00,52.00,2065.00,29.99,New Amazon: $68.38,List: $29.99Lowest Amazon: $19.99New Amazon: $68.38
5719,Ancient Battles Deluxe,5.65,7.04,2008.00,5174.00,52.00,131.00,,,
5720,Kasserine,5.65,7.09,2001.00,5175.00,52.00,139.00,,,
5721,Cuzco,5.65,7.56,2018.00,5176.00,52.00,108.00,,,
5722,Los Mampfos,5.65,6.18,2006.00,5177.00,52.00,350.00,,Lowest Amazon: $19.99New Amazon: $24.99,
5723,Fiji,5.65,5.86,2006.00,5178.00,52.00,871.00,,,Lowest Amazon: $19.99New Amazon: $24.99
5724,Push Fight,5.65,7.54,2008.00,5179.00,52.00,107.00,,List: $29.95New Amazon: $9.99,
5725,The Lord of the Rings: Journey to Mordor,5.65,6.04,2015.00,5180.00,52.00,515.00,29.95,,List: $29.95New Amazon: $9.99
5726,Wind River,5.65,6.52,2008.00,5181.00,52.00,229.00,,DragonFlame(2014),
5727,Welcome To DinoWorld,5.65,6.89,2017.00,5184.00,52.00,152.00,,,
5728,Muscat,5.65,6.43,2001.00,5185.00,52.00,218.00,,List: $39.99Lowest Amazon: $32.00New Amazon: $44.99,
5729,Hunting Party,5.65,6.21,2005.00,5186.00,52.00,347.00,39.99,New Amazon: $44.99,List: $39.99Lowest Amazon: $32.00New Amazon: $44.99
5730,Simply Cosmic,5.65,6.45,1995.00,5188.00,52.00,220.00,,,
5731,Wazabi,5.65,5.90,2008.00,5189.00,52.00,893.00,,,
5732,Bloom,5.65,6.48,2008.00,5190.00,52.00,227.00,,List: $24.95New Amazon: $21.95,
5733,Burger Joint,5.65,6.05,2009.00,5191.00,52.00,494.00,24.95,,List: $24.95New Amazon: $21.95
5734,Risk: Metal Gear Solid,5.65,7.08,2011.00,5193.00,52.00,181.00,49.95,,List: $49.95New Amazon: $128.99
5735,Wacht am Rhein,5.65,7.47,1977.00,5194.00,52.00,119.00,,,
5736,Dirtside II,5.65,7.15,1993.00,5195.00,52.00,131.00,,,
5737,Sakura,5.65,6.27,2017.00,5196.00,52.00,326.00,,Anima: Beyond Good and Evil(2008),
5738,Minos,5.65,6.39,1991.00,5201.00,53.00,264.00,,List: $29.99Lowest Amazon: $14.50New Amazon: $44.92,
5739,Outburst!,5.64,5.78,1986.00,5202.00,53.00,1542.00,29.99,New Amazon: $44.92,List: $29.99Lowest Amazon: $14.50New Amazon: $44.92
5740,The Emperor Returns,5.64,7.07,1986.00,5204.00,53.00,140.00,,List: $45.00Lowest Amazon: $19.00New Amazon: $22.99,
5741,Planet Defenders,5.64,6.70,2016.00,5205.00,53.00,174.00,45.00,New Amazon: $22.99,List: $45.00Lowest Amazon: $19.00New Amazon: $22.99
5742,Destination X,5.64,6.59,2017.00,5206.00,53.00,201.00,,Steel Arena: Friday Night Robot Fight(2016),New Amazon: $13.99
5743,Epic Dungeoneer: Call of the Lich Lord,5.64,6.30,2006.00,5208.00,53.00,288.00,,,
5744,Visionary,5.64,6.48,1997.00,5209.00,53.00,221.00,,New Amazon: $26.64,
5745,The Masters' Trials: Wrath of Magmaroth,5.64,6.83,2017.00,5210.00,53.00,156.00,,Richthofen's War(1972),New Amazon: $26.64
5746,Richthofen's War,5.64,5.96,1972.00,5211.00,53.00,769.00,,List: $20.00New Amazon: $22.62,
5747,The Tea Dragon Society Card Game,5.64,6.40,2018.00,5212.00,53.00,275.00,20.00,,List: $20.00New Amazon: $22.62
5748,Crown of Roses,5.64,6.52,2012.00,5214.00,53.00,226.00,,,Lowest Amazon: $65.78New Amazon: $79.95
5749,The Sheep Race,5.64,6.60,2013.00,5215.00,53.00,201.00,,,
5750,Zauberschwert & Drachenei,5.64,6.10,2003.00,5216.00,53.00,396.00,,,
5751,Schatz der Drachen,5.64,6.63,2003.00,5217.00,53.00,179.00,,Tales & Games: The Pied Piper(2016),
5752,Tales & Games: The Pied Piper,5.64,6.49,2016.00,5219.00,53.00,217.00,24.99,New Amazon: $18.04,List: $24.99Lowest Amazon: $15.95New Amazon: $18.04
5753,John Prados' Third Reich,5.64,6.44,2001.00,5220.00,53.00,270.00,,Europe in Turmoil: Prelude to the Great War(2018),Used Amazon: $117.78
5754,Europe in Turmoil: Prelude to the Great War,5.64,8.39,2018.00,5221.00,53.00,70.00,,,
5755,The First World War,5.64,6.12,2004.00,5222.00,53.00,436.00,,,
5756,Spookies,5.64,6.20,2015.00,5224.00,53.00,319.00,,Treasure Mountain(2019),
5757,Treasure Mountain,5.64,8.01,2019.00,5226.00,53.00,94.00,,Lowest Amazon: $79.99New Amazon: $100.00,
5758,Armorica,5.64,6.49,2010.00,5227.00,53.00,217.00,,,Lowest Amazon: $79.99New Amazon: $100.00
5759,Battlecars,5.64,6.21,1983.00,5228.00,53.00,379.00,,,
5760,18GL,5.64,7.47,2005.00,5229.00,53.00,95.00,,List: $9.95Lowest Amazon: $1.99New Amazon: $36.44,
5761,New Rules for Classic Games,5.64,7.46,1992.00,5230.00,53.00,94.00,9.95,New Amazon: $36.44,List: $9.95Lowest Amazon: $1.99New Amazon: $36.44
5762,Mercado,5.64,6.46,2018.00,5231.00,53.00,222.00,,The Quiet Year(2013),New Amazon: $17.75
5763,The Quiet Year,5.64,7.80,2013.00,5232.00,53.00,93.00,,List: $14.99Lowest Amazon: $9.00New Amazon: $13.77,
5764,We Didn't Playtest This: Legacies,5.64,6.15,2012.00,5233.00,53.00,381.00,14.99,New Amazon: $13.77,List: $14.99Lowest Amazon: $9.00New Amazon: $13.77
5765,24/7: The Game,5.64,6.48,2006.00,5236.00,53.00,217.00,,,Lowest Amazon: $24.97New Amazon: $46.00
5766,Ilium,5.64,6.18,2008.00,5237.00,53.00,342.00,39.99,,List: $39.99New Amazon: $21.49
5767,Villainous: Wicked to the Core,5.64,8.03,2019.00,5238.00,53.00,99.00,,List: $39.99Lowest Amazon: $24.99New Amazon: $32.99,
5768,Spectral Rails,5.64,6.35,2011.00,5239.00,53.00,245.00,39.99,New Amazon: $32.99,List: $39.99Lowest Amazon: $24.99New Amazon: $32.99
5769,Guilds,5.64,6.79,2017.00,5240.00,53.00,194.00,,,
5770,DrunkQuest,5.64,6.34,2013.00,5241.00,53.00,332.00,,,
5771,Sunflower Valley,5.64,7.18,2017.00,5242.00,53.00,152.00,,,
5772,Empire of the Rising Sun,5.64,6.75,1995.00,5243.00,53.00,196.00,,,
5773,Balkan Front,5.64,6.99,1990.00,5244.00,53.00,153.00,,List: $59.00Lowest Amazon: $43.99New Amazon: $87.62,
5774,Iron and Oak,5.64,6.78,2013.00,5245.00,53.00,155.00,59.00,New Amazon: $87.62,List: $59.00Lowest Amazon: $43.99New Amazon: $87.62
5775,Gunrunners,5.64,6.47,2013.00,5246.00,53.00,226.00,,Mare Balticum(2011),Used Amazon: $12.95
5776,Mare Balticum,5.64,6.31,2011.00,5247.00,53.00,281.00,,List: $59.99New Amazon: $35.27,
5777,Barcelona: The Rose of Fire,5.64,6.53,2016.00,5248.00,53.00,229.00,59.99,,List: $59.99New Amazon: $35.27
5778,King's Pouch,5.64,6.73,2014.00,5249.00,53.00,177.00,,,
5779,1914: Offensive à outrance,5.64,8.04,2013.00,5250.00,53.00,90.00,,,
5780,Advanced Space Crusade,5.64,6.49,1990.00,5251.00,53.00,270.00,,,
5781,Cat Box,5.64,6.24,2015.00,5252.00,53.00,318.00,,New Amazon: $14.53,
5782,Kribbeln,5.64,6.47,2016.00,5253.00,53.00,219.00,,Oware(550),New Amazon: $14.53
5783,Rise of the Necromancers,5.64,7.58,2018.00,5255.00,53.00,127.00,,Ploy(1970),
5784,Ploy,5.64,6.22,1970.00,5257.00,53.00,338.00,,,Lowest Amazon: $14.21New Amazon: $149.99
5785,Na Grunwald: rycerze króla Jagiełły,5.64,6.66,2010.00,5259.00,53.00,177.00,,Lowest Amazon: $74.95New Amazon: $79.95,
5786,Bitter Woods: Designer Edition,5.64,8.08,2014.00,5260.00,53.00,74.00,,,Lowest Amazon: $74.95New Amazon: $79.95
5787,DOG Royal,5.64,6.52,2012.00,5262.00,53.00,214.00,,,
5788,Minute Realms,5.64,6.50,2017.00,5263.00,53.00,213.00,,,
5789,North American Rails,5.64,6.77,1992.00,5264.00,53.00,165.00,,List: $19.99Lowest Amazon: $6.55New Amazon: $12.75,
5790,Dungeon of Fortune,5.64,6.20,2015.00,5265.00,53.00,380.00,19.99,New Amazon: $12.75,List: $19.99Lowest Amazon: $6.55New Amazon: $12.75
5791,Hacker: Deluxe Edition,5.64,6.34,2001.00,5266.00,53.00,311.00,,,
