,name,rating,avg_rating,year,rank,page_no,num_voters,list_price,ios_prices,all_prices
1875,The Bird Told Me To Do It,5.44,5.02,2016.00,16382.00,164.00,171.00,,Monopoly: Disney/Pixar(2005),
1876,Oh Snap!,5.44,5.30,1965.00,16389.00,164.00,532.00,18.99,,List: $18.99New Amazon: $18.49
1877,Bottlecap Vikings,5.44,5.28,2015.00,16392.00,164.00,397.00,,Sudoku(2005),
1878,Jurassic Park Game,5.44,5.07,1993.00,16397.00,164.00,172.00,,,Lowest Amazon: $79.00New Amazon: $183.00
1879,7,5.44,5.06,2009.00,16398.00,164.00,137.00,,Xanth(1991),
1880,Ghettopoly,5.44,4.56,2003.00,16401.00,165.00,91.00,,Foreign Exchange(1979),
1881,Air War: Modern Tactical Air Combat,5.44,5.27,1977.00,16407.00,165.00,283.00,,Lowest Amazon: $21.36New Amazon: $25.36,
1882,ZombieTown,5.44,5.33,2007.00,16408.00,165.00,422.00,,,Lowest Amazon: $21.36New Amazon: $25.36
1883,Crossfire,5.44,5.33,1971.00,16412.00,165.00,390.00,,Global Pursuit(1987),Used Amazon: $99.99
1884,Sorry! with Fire & Ice Power-ups,5.44,5.07,2013.00,16415.00,165.00,184.00,12.99,New Amazon: $14.68,List: $12.99Lowest Amazon: $12.99New Amazon: $14.68
1885,Jeff Foxworthy's You Might Be a Redneck if... Game,5.44,3.55,2006.00,16417.00,165.00,39.00,,,Lowest Amazon: $12.00New Amazon: $29.99
1886,Boom-O,5.44,5.31,2000.00,16422.00,165.00,568.00,,,Lowest Amazon: $28.00New Amazon: $49.95
1887,Fairytale Games: The Battle Royale,5.44,4.01,2014.00,16429.00,165.00,69.00,,"Win, Lose, or Banana(2009)",
1888,"Win, Lose, or Banana",5.44,5.39,2009.00,16431.00,165.00,749.00,,,
1889,Rock Paper Scissors,5.44,4.09,1968.00,16432.00,165.00,54.00,,The Game of Life: Pirates of the Caribbean(2004),
1890,The Game of Life: Pirates of the Caribbean,5.44,4.97,2004.00,16434.00,165.00,152.00,,,Lowest Amazon: $36.16New Amazon: $73.49
1891,Hipster Dice,5.44,4.28,2014.00,16436.00,165.00,69.00,,The Da Vinci Code Board Game: The Quest for the Truth(2006),
1892,Iceberg Seals,5.43,5.25,1996.00,16445.00,165.00,422.00,25.99,New Amazon: $28.45,List: $25.99Lowest Amazon: $23.00New Amazon: $28.45
1893,Malefiz,5.43,5.39,1960.00,16447.00,165.00,852.00,,New Amazon: $19.95,
1894,Tenjo,5.43,5.03,2001.00,16448.00,165.00,193.00,,Star Wars R2-D2 is in Trouble(2009),New Amazon: $19.95
1895,Star Wars R2-D2 is in Trouble,5.43,4.69,2009.00,16449.00,165.00,111.00,18.99,New Amazon: $19.99,List: $18.99Lowest Amazon: $10.95New Amazon: $19.99
1896,History of the Second World War,5.43,4.12,1985.00,16450.00,165.00,59.00,,Big Fish Lil' Fish(2005),
1897,Voodoo Mania,5.43,5.10,2013.00,16454.00,165.00,207.00,,The Newlywed Game(1967),New Amazon: $6.65
1898,The Newlywed Game,5.43,4.85,1967.00,16455.00,165.00,129.00,,,
1899,Amber,5.43,5.15,2012.00,16457.00,165.00,232.00,22.99,,List: $22.99New Amazon: $19.95
1900,Jenga Truth-or-Dare,5.43,5.04,2000.00,16464.00,165.00,173.00,,,Lowest Amazon: $29.99New Amazon: $31.20
1901,Igels: Das Kartenspiel,5.43,5.09,2005.00,16475.00,165.00,216.00,,World War 3(1975),
1902,The Game of Life: A Jedi's Path,5.43,5.31,2002.00,16480.00,165.00,413.00,,,Lowest Amazon: $24.99New Amazon: $109.99
1903,Kill the Hippies,5.43,4.86,2007.00,16481.00,165.00,128.00,,Ripley's Believe It or Not!(1984),
1904,Partini,5.43,5.09,2008.00,16484.00,165.00,241.00,31.99,New Amazon: $22.22,List: $31.99Lowest Amazon: $9.75New Amazon: $22.22
1905,Race to the Roof,5.43,4.61,1974.00,16490.00,165.00,101.00,,,Lowest Amazon: $12.99New Amazon: $39.49
1906,SPANC: Space Pirate Amazon Ninja Catgirls,5.43,5.36,2005.00,16493.00,165.00,483.00,24.95,New Amazon: $49.99,List: $24.95Lowest Amazon: $24.99New Amazon: $49.99
1907,I Am Vlad: Prince of Wallachia,5.43,4.72,2012.00,16495.00,165.00,87.00,,,Lowest Amazon: $54.95New Amazon: $60.99
1908,Armada,5.43,5.22,1986.00,16509.00,166.00,338.00,,,Lowest Amazon: $29.89New Amazon: $40.00
1909,Cranium Cadoo,5.43,5.29,2001.00,16510.00,166.00,539.00,19.99,New Amazon: $29.95,List: $19.99Lowest Amazon: $5.00New Amazon: $29.95
1910,Simply Ingenious,5.43,5.25,2008.00,16515.00,166.00,374.00,,,
1911,I Hate Zombies,5.43,5.23,2015.00,16519.00,166.00,479.00,,Army of Darkness Card Game(2004),
1912,Star Wars Episode I: Customizable Card Game,5.43,4.75,1999.00,16522.00,166.00,145.00,,,Lowest Amazon: $5.00New Amazon: $10.98
1913,Monopoly: The .com Edition,5.42,4.94,2000.00,16528.00,166.00,150.00,,,Lowest Amazon: $10.01New Amazon: $47.64
1914,TKO,5.42,4.94,2015.00,16532.00,166.00,183.00,6.99,,List: $6.99New Amazon: $3.22
1915,Star Wars: Episode I – Battle for Naboo 3-D Action Game,5.42,4.03,1999.00,16547.00,166.00,76.00,,,Lowest Amazon: $6.99New Amazon: $8.68
1916,The Kids of Catan,5.42,5.29,2003.00,16549.00,166.00,642.00,59.99,New Amazon: $105.99,List: $59.99Lowest Amazon: $41.95New Amazon: $105.99
1917,Whatzit?,5.42,5.07,1987.00,16557.00,166.00,251.00,,,Lowest Amazon: $16.99New Amazon: $72.47
1918,Myst,5.42,4.01,1998.00,16561.00,166.00,71.00,,Sorry! Express(2007),
1919,Wit's End,5.42,5.08,1995.00,16570.00,166.00,232.00,34.99,New Amazon: $39.99,List: $34.99Lowest Amazon: $19.99New Amazon: $39.99
1920,Flinch,5.42,5.20,1894.00,16574.00,166.00,376.00,10.00,,List: $10.00New Amazon: $69.99
1921,Genegrafter,5.42,3.80,2012.00,16575.00,166.00,56.00,,¥€$(2004),New Amazon: $14.99
1922,Tactics II,5.42,5.35,1958.00,16578.00,166.00,756.00,,Evil Baby Orphanage(2012),
1923,Evil Baby Orphanage,5.42,5.35,2012.00,16580.00,166.00,603.00,18.00,,List: $18.00Used Amazon: $39.95
1924,Pie Face,5.42,5.18,1964.00,16583.00,166.00,344.00,19.99,,List: $19.99New Amazon: $14.49
1925,Dominoes,5.42,5.45,1500.00,16584.00,166.00,5070.00,14.99,New Amazon: $9.59,List: $14.99Lowest Amazon: $6.83New Amazon: $9.59
1926,Magdar,5.42,5.25,2003.00,16588.00,166.00,531.00,,Gazdálkodj Okosan!(1960),New Amazon: $53.96
1927,Chez Dork,5.41,5.28,2001.00,16592.00,166.00,496.00,,List: $34.99Lowest Amazon: $26.00New Amazon: $34.99,
1928,Nine Men's Morris,5.41,5.37,#VALUE!,16593.00,166.00,1094.00,34.99,New Amazon: $34.99,List: $34.99Lowest Amazon: $26.00New Amazon: $34.99
1929,The Hobbit: An Unexpected Journey – Adventure Board Game,5.41,3.23,2012.00,16598.00,166.00,57.00,29.99,New Amazon: $14.40,List: $29.99Lowest Amazon: $11.77New Amazon: $14.40
1930,Mega Man: The Board Game,5.41,5.31,2016.00,16603.00,167.00,235.00,,,Lowest Amazon: $60.95New Amazon: $62.70
1931,Monopoly: The Lord of the Rings Trilogy Edition,5.41,5.39,2003.00,16604.00,167.00,761.00,9.99,New Amazon: $74.99,List: $9.99Lowest Amazon: $21.98New Amazon: $74.99
1932,Monopoly: Disney,5.41,5.17,2001.00,16608.00,167.00,410.00,29.99,New Amazon: $79.10,List: $29.99Lowest Amazon: $19.10New Amazon: $79.10
1933,Hotel Tycoon,5.41,5.46,1974.00,16611.00,167.00,2576.00,,,
1934,Smart Ass,5.41,5.35,2006.00,16622.00,167.00,979.00,24.99,,List: $24.99New Amazon: $14.12
1935,What's Yours Like?,5.41,5.08,2007.00,16623.00,167.00,327.00,29.99,New Amazon: $16.50,List: $29.99Lowest Amazon: $9.95New Amazon: $16.50
1936,Evil Dead 2: The Official Board Game,5.41,2.44,2018.00,16626.00,167.00,55.00,,Trivial Pursuit: Totally 80s Edition(2005),
1937,Twilight: The Board Game,5.41,2.62,2009.00,16629.00,167.00,42.00,19.99,New Amazon: $19.69,List: $19.99Lowest Amazon: $9.95New Amazon: $19.69
1938,Huggermugger,5.41,5.20,1989.00,16631.00,167.00,395.00,,,Lowest Amazon: $3.99New Amazon: $43.99
1939,Cranium Zigity,5.41,5.31,2004.00,16633.00,167.00,854.00,9.99,New Amazon: $33.20,List: $9.99Lowest Amazon: $8.99New Amazon: $33.20
1940,The Sneaky Snacky Squirrel Game,5.41,5.07,2011.00,16635.00,167.00,292.00,21.99,New Amazon: $17.89,List: $21.99Lowest Amazon: $13.00New Amazon: $17.89
1941,Jim Henson's Labyrinth: The Board Game,5.41,5.24,2016.00,16638.00,167.00,449.00,50.00,New Amazon: $37.12,List: $50.00Lowest Amazon: $28.00New Amazon: $37.12
1942,UNO Attack!,5.41,5.41,1999.00,16640.00,167.00,1104.00,24.99,New Amazon: $39.90,List: $24.99Lowest Amazon: $19.25New Amazon: $39.90
1943,Wyvern,5.41,5.24,1994.00,16642.00,167.00,392.00,,Lowest Amazon: $29.95New Amazon: $48.98,
1944,Big Brother: The Game,5.41,3.11,2000.00,16643.00,167.00,60.00,,,Lowest Amazon: $29.95New Amazon: $48.98
1945,Key to the Kingdom,5.40,5.41,1990.00,16644.00,167.00,1024.00,,,
1946,Tetris: The Card Game,5.40,4.37,2011.00,16652.00,167.00,105.00,9.99,,List: $9.99New Amazon: $7.50
1947,Monopoly: Star Wars Episode I,5.40,5.22,1999.00,16659.00,167.00,483.00,,,Lowest Amazon: $15.90New Amazon: $79.99
1948,Monopoly: Pokémon,5.40,5.33,1995.00,16661.00,167.00,449.00,,,Lowest Amazon: $24.99New Amazon: $109.95
1949,Vampire Hunter,5.40,5.18,2002.00,16662.00,167.00,432.00,,,Lowest Amazon: $16.66New Amazon: $47.99
1950,Spammers,5.40,4.16,1998.00,16663.00,167.00,106.00,,Mystery on the Nile(1996),Used Amazon: $14.95
1951,Archer: The Danger Zone! Board Game,5.40,4.82,2014.00,16666.00,167.00,200.00,39.99,,List: $39.99Used Amazon: $150.00
1952,Airlines,5.40,4.64,1998.00,16667.00,167.00,159.00,,New Amazon: $17.99,
1953,Dragonriders,5.40,5.06,2005.00,16668.00,167.00,335.00,,Game of the States(1940),New Amazon: $17.99
1954,Zombie! Run for Your Lives!,5.40,4.41,2012.00,16670.00,167.00,133.00,,The Big Bang Theory: Rock! Paper! Scissors! Lizard! Spock! Dice Game,
1955,Story War,5.40,5.04,2013.00,16673.00,167.00,279.00,,Warmaster Chess 2000(1998),New Amazon: $29.99
1956,Warmaster Chess 2000,5.40,2.29,1998.00,16674.00,167.00,40.00,,Wizardology: The Game(2007),
1957,Where Art Thou Romeo?,5.39,4.96,2013.00,16681.00,167.00,283.00,,,
1958,Dark World,5.39,5.26,1991.00,16682.00,167.00,670.00,,Pirates of the Caribbean DVD Treasure Hunt(2006),
1959,Happy Families,5.39,4.71,1851.00,16688.00,167.00,186.00,11.99,,List: $11.99New Amazon: $6.59
1960,Game of Thrones: Westeros Intrigue,5.39,5.27,2014.00,16694.00,167.00,959.00,9.95,New Amazon: $9.39,List: $9.95Lowest Amazon: $4.67New Amazon: $9.39
1961,Halo Interactive Strategy Game,5.39,4.97,2008.00,16695.00,167.00,221.00,49.99,New Amazon: $69.95,List: $49.99Lowest Amazon: $39.95New Amazon: $69.95
1962,Class Struggle,5.39,4.88,1978.00,16700.00,167.00,179.00,,,"Geekdo, BoardGameGeek, the Geekdo logo, and the BoardGameGeek logo are trademarks of BoardGameGeek, LLC."
1963,The Prince: The Struggle of House Borgia,5.39,4.95,2003.00,16701.00,168.00,267.00,34.99,New Amazon: $30.00,List: $34.99Lowest Amazon: $10.00New Amazon: $30.00
1964,Which Witch?,5.39,5.30,1970.00,16703.00,168.00,782.00,,Pimp: The Backhanding(2005),
1965,Pimp: The Backhanding,5.39,5.18,2005.00,16705.00,168.00,500.00,,Maxi Bour$e(1987),
1966,Jumbo Jet,5.39,4.78,1975.00,16708.00,168.00,218.00,,Superpower(1986),
1967,Emperor's New Clothes,5.39,3.46,2014.00,16712.00,168.00,71.00,,Lone Wolf and Cub Game(1989),
1968,Single Card Game,5.38,3.82,2016.00,16721.00,168.00,85.00,,List: $19.99New Amazon: $9.95,
1969,Hidden Conflict,5.38,4.30,2005.00,16722.00,168.00,129.00,19.99,,List: $19.99New Amazon: $9.95
1970,Crocodile Dentist,5.38,4.83,1990.00,16724.00,168.00,260.00,15.99,New Amazon: $20.98,List: $15.99Lowest Amazon: $10.30New Amazon: $20.98
1971,All Wound Up,5.38,4.92,2004.00,16725.00,168.00,296.00,,,Lowest Amazon: $20.00New Amazon: $28.02
1972,Evil Genius: Deathray,5.38,4.68,2015.00,16728.00,168.00,139.00,,Lowest Amazon: $20.95New Amazon: $59.99,
1973,Dungeonville,5.38,4.89,2004.00,16729.00,168.00,293.00,,,Lowest Amazon: $20.95New Amazon: $59.99
1974,Thermopyles,5.38,4.29,2013.00,16731.00,168.00,146.00,,List: $30.00Lowest Amazon: $12.20New Amazon: $23.12,
1975,Killer Bunnies and the Quest for the Magic Carrot,5.38,5.49,2002.00,16732.00,168.00,5184.00,30.00,New Amazon: $23.12,List: $30.00Lowest Amazon: $12.20New Amazon: $23.12
1976,The Big Bang Theory: Fact or Fiction Game,5.38,4.40,2011.00,16734.00,168.00,153.00,,I.Q. 2000(1984),New Amazon: $19.98
1977,Electric Football,5.37,4.73,1948.00,16737.00,168.00,201.00,,Lowest Amazon: $45.00New Amazon: $219.99,
1978,Dread Pirate,5.37,5.25,2002.00,16738.00,168.00,876.00,,,Lowest Amazon: $45.00New Amazon: $219.99
1979,Rocketville,5.37,5.09,2006.00,16744.00,168.00,572.00,,,Lowest Amazon: $15.99New Amazon: $19.49
1980,Po-Ke-No,5.37,4.50,1930.00,16748.00,168.00,171.00,15.99,New Amazon: $10.40,List: $15.99Lowest Amazon: $5.99New Amazon: $10.40
1981,Busen Memo,5.37,4.77,2001.00,16753.00,168.00,254.00,,Toss Across(1969),
1982,Toss Across,5.37,4.40,1969.00,16755.00,168.00,163.00,19.99,New Amazon: $28.47,List: $19.99Lowest Amazon: $22.45New Amazon: $28.47
1983,Young Jedi CCG,5.36,4.88,1999.00,16762.00,168.00,319.00,,DogFight WW1(2013),New Amazon: $25.95
1984,The Hobbit Card Game,5.36,5.23,2012.00,16767.00,168.00,1201.00,9.95,New Amazon: $39.99,List: $9.95Lowest Amazon: $24.95New Amazon: $39.99
1985,Skip-Bo,5.36,5.39,1967.00,16768.00,168.00,4799.00,7.99,New Amazon: $6.99,List: $7.99Lowest Amazon: $6.71New Amazon: $6.99
1986,The Princess Bride: Prepare to Die,5.36,3.41,2013.00,16770.00,168.00,87.00,,List: $39.99Lowest Amazon: $20.01New Amazon: $96.49,
1987,Monopoly: The Simpsons,5.36,5.19,2001.00,16771.00,168.00,606.00,39.99,New Amazon: $96.49,List: $39.99Lowest Amazon: $20.01New Amazon: $96.49
1988,Anasazi,5.36,4.94,2006.00,16772.00,168.00,419.00,14.99,New Amazon: $35.00,List: $14.99Lowest Amazon: $23.99New Amazon: $35.00
1989,Tribond,5.36,5.25,1989.00,16777.00,168.00,1128.00,24.99,New Amazon: $37.79,List: $24.99Lowest Amazon: $14.12New Amazon: $37.79
1990,Wench,5.36,4.58,2005.00,16778.00,168.00,212.00,,,Lowest Amazon: $24.49New Amazon: $49.99
1991,Pirateology: The Game,5.35,4.03,2007.00,16780.00,168.00,132.00,36.99,,List: $36.99New Amazon: $19.95
1992,Cashflow 101,5.35,5.14,1996.00,16783.00,168.00,495.00,,,Lowest Amazon: $59.90New Amazon: $69.00
1993,Spellfire,5.35,5.13,1994.00,16788.00,168.00,574.00,,List: $29.99Lowest Amazon: $35.99New Amazon: $44.99,
1994,Dante's Inferno,5.35,4.71,2003.00,16789.00,168.00,286.00,29.99,New Amazon: $44.99,List: $29.99Lowest Amazon: $35.99New Amazon: $44.99
1995,"Men Are from Mars, Women Are from Venus",5.34,3.80,1998.00,16790.00,168.00,124.00,,,Lowest Amazon: $10.66New Amazon: $26.48
1996,Star Wars: Jedi Unleashed,5.34,4.65,2002.00,16794.00,168.00,279.00,44.99,New Amazon: $19.94,List: $44.99Lowest Amazon: $10.00New Amazon: $19.94
1997,24 DVD Board Game,5.34,2.22,2006.00,16795.00,168.00,66.00,29.99,,List: $29.99New Amazon: $1.53
1998,Trivial Pursuit: 90's Time Capsule Edition,5.34,5.13,2004.00,16797.00,168.00,689.00,,,Lowest Amazon: $5.00New Amazon: $69.99
1999,Monopoly: Deluxe Edition,5.34,5.28,1995.00,16798.00,168.00,1047.00,22.99,New Amazon: $94.90,List: $22.99Lowest Amazon: $23.71New Amazon: $94.90
2000,ThinkBlot,5.34,4.41,1997.00,16799.00,168.00,208.00,,,Lowest Amazon: $8.50New Amazon: $12.95
2001,Survivor,5.34,4.04,2000.00,16800.00,168.00,159.00,,"Geekdo, BoardGameGeek, the Geekdo logo, and the BoardGameGeek logo are trademarks of BoardGameGeek, LLC.",Lowest Amazon: $16.09New Amazon: $38.00
2002,Tri-Ominos,5.34,5.28,1965.00,16802.00,169.00,1900.00,25.00,Fallen City of Karez(2012),List: $25.00
2003,Fallen City of Karez,5.34,4.55,2012.00,16803.00,169.00,275.00,69.95,,List: $69.95New Amazon: $36.99
2004,Pop the Pig,5.34,4.12,2007.00,16805.00,169.00,162.00,,List: $12.99Lowest Amazon: $25.74New Amazon: $85.99,
2005,Go to the Head of the Class,5.34,4.60,1936.00,16806.00,169.00,277.00,12.99,New Amazon: $85.99,List: $12.99Lowest Amazon: $25.74New Amazon: $85.99
2006,Are You the Traitor?,5.33,5.06,2009.00,16807.00,169.00,680.00,15.00,,List: $15.00New Amazon: $5.99
2007,PAC-MAN Game,5.33,4.80,1982.00,16809.00,169.00,402.00,,List: $4.99Lowest Amazon: $1.99New Amazon: $4.99,
2008,Battle of the Sexes Card Game,5.33,3.34,2001.00,16810.00,169.00,107.00,4.99,New Amazon: $4.99,List: $4.99Lowest Amazon: $1.99New Amazon: $4.99
2009,The Simpsons Trivia Game,5.33,4.54,2000.00,16812.00,169.00,245.00,,,Lowest Amazon: $6.99New Amazon: $19.88
2010,Quidditch: The Game,5.33,2.78,2000.00,16813.00,169.00,85.00,,,Lowest Amazon: $20.05New Amazon: $30.70
2011,Feed the Kitty,5.33,4.89,2006.00,16814.00,169.00,403.00,14.99,New Amazon: $14.98,List: $14.99Lowest Amazon: $2.99New Amazon: $14.98
2012,The Walking Dead Board Game,5.33,5.09,2011.00,16815.00,169.00,554.00,39.99,New Amazon: $24.64,List: $39.99Lowest Amazon: $8.61New Amazon: $24.64
2013,Trivial Pursuit: 20th Anniversary Edition,5.33,5.22,2002.00,16817.00,169.00,1164.00,59.99,New Amazon: $17.90,List: $59.99Lowest Amazon: $4.00New Amazon: $17.90
2014,Bunco Party,5.33,3.28,2004.00,16818.00,169.00,105.00,18.95,New Amazon: $41.95,List: $18.95Lowest Amazon: $12.44New Amazon: $41.95
2015,The Haunting House,5.33,5.07,2004.00,16819.00,169.00,704.00,22.99,New Amazon: $91.98,List: $22.99Lowest Amazon: $34.50New Amazon: $91.98
2016,Monopoly: Star Wars Limited Collector's Edition,5.33,5.18,1996.00,16821.00,169.00,953.00,,,Lowest Amazon: $16.52New Amazon: $54.95
2017,Warriors,5.33,4.99,2004.00,16822.00,169.00,580.00,19.99,New Amazon: $22.00,List: $19.99Lowest Amazon: $19.99New Amazon: $22.00
2018,Quelf,5.32,5.31,2005.00,16825.00,169.00,2252.00,19.99,New Amazon: $19.99,List: $19.99Lowest Amazon: $19.59New Amazon: $19.99
2019,Pass the Pigs,5.32,5.33,1977.00,16827.00,169.00,4580.00,12.99,New Amazon: $9.10,List: $12.99Lowest Amazon: Too low to displayNew Amazon: $9.10
2020,Battlestar Galactica,5.31,4.12,1978.00,16828.00,169.00,181.00,,,Lowest Amazon: $14.99New Amazon: $97.50
2021,Tom Clancy's Politika,5.31,4.20,1997.00,16830.00,169.00,202.00,49.99,New Amazon: $29.95,List: $49.99Lowest Amazon: $13.98New Amazon: $29.95
2022,Star Wars:  Escape From Death Star Game,5.31,4.78,1977.00,16832.00,169.00,412.00,,,
2023,Oneupmanship: Mine's Bigger,5.31,1.05,2013.00,16838.00,169.00,59.00,,Ants in the Pants(1969),
2024,Ants in the Pants,5.31,4.34,1969.00,16840.00,169.00,260.00,11.99,,List: $11.99New Amazon: $12.50
2025,Pretty Pretty Princess,5.30,4.28,1990.00,16841.00,169.00,229.00,9.99,New Amazon: $164.95,List: $9.99Lowest Amazon: $34.99New Amazon: $164.95
2026,Carcassonne: The Dice Game,5.30,4.99,2011.00,16842.00,169.00,717.00,17.99,New Amazon: $15.99,List: $17.99Lowest Amazon: $12.50New Amazon: $15.99
2027,Don't Wake Daddy,5.30,4.46,1992.00,16844.00,169.00,295.00,17.99,New Amazon: $36.95,List: $17.99Lowest Amazon: $14.50New Amazon: $36.95
2028,Lord of the Rings: The Search,5.30,5.06,2001.00,16845.00,169.00,1008.00,,,Lowest Amazon: $14.99New Amazon: $26.99
2029,Hengist,5.30,4.89,2015.00,16847.00,169.00,517.00,28.00,,List: $28.00New Amazon: $6.99
2030,Yahtzee,5.30,5.32,1956.00,16848.00,169.00,9776.00,11.99,New Amazon: $11.99,List: $11.99Lowest Amazon: $10.51New Amazon: $11.99
2031,Wheel of Fortune,5.29,4.56,1975.00,16849.00,169.00,339.00,15.99,New Amazon: $19.99,List: $15.99Lowest Amazon: $17.86New Amazon: $19.99
2032,Redshirts,5.29,4.58,2012.00,16851.00,169.00,341.00,,Are You Smarter Than a 5th Grader?(2007),Used Amazon: $18.00
2033,Are You Smarter Than a 5th Grader?,5.29,4.09,2007.00,16852.00,169.00,218.00,21.99,New Amazon: $15.04,List: $21.99Lowest Amazon: $9.50New Amazon: $15.04
2034,Stay Alive,5.29,4.95,1965.00,16854.00,169.00,726.00,,Bondespelet(1953),Used Amazon: $39.99
2035,Bionicle Adventure Game: Quest For Makuta,5.29,4.05,2001.00,16857.00,169.00,219.00,,,Lowest Amazon: $12.95New Amazon: $37.99
2036,UNO,5.29,5.36,1971.00,16858.00,169.00,16661.00,5.99,,List: $5.99New Amazon: $2.00
2037,Scrabble Slam!,5.28,5.12,2008.00,16861.00,169.00,1376.00,,,Lowest Amazon: $1.95New Amazon: $7.44
2038,Crocodile Pool Party,5.28,4.38,1968.00,16863.00,169.00,299.00,24.99,New Amazon: $16.99,List: $24.99Lowest Amazon: $9.99New Amazon: $16.99
2039,Harry Potter and the Sorcerer's Stone Quidditch Card Game,5.28,4.18,2000.00,16864.00,169.00,234.00,,,Lowest Amazon: $20.05New Amazon: $30.70
2040,Electronic Battleship,5.28,4.71,1977.00,16865.00,169.00,431.00,34.99,New Amazon: $29.99,List: $34.99Lowest Amazon: $21.00New Amazon: $29.99
2041,Angry Birds: Knock on Wood,5.27,4.58,2011.00,16866.00,169.00,392.00,19.99,New Amazon: $39.99,List: $19.99Lowest Amazon: $20.99New Amazon: $39.99
2042,Dragonology: The Game,5.27,4.49,2006.00,16867.00,169.00,322.00,36.99,New Amazon: $69.88,List: $36.99Lowest Amazon: $17.99New Amazon: $69.88
2043,Cthulhu Dice,5.27,5.22,2010.00,16869.00,169.00,2532.00,,Shut the Box(1750),New Amazon: $95.11
2044,Shut the Box,5.27,5.03,1750.00,16870.00,169.00,970.00,24.99,New Amazon: $24.99,List: $24.99Lowest Amazon: $14.95New Amazon: $24.99
2045,Penguin,5.26,4.66,2007.00,16872.00,169.00,470.00,,List: $24.95New Amazon: $32.91,
2046,Letter of Marque,5.26,4.82,2009.00,16873.00,169.00,654.00,24.95,,List: $24.95New Amazon: $32.91
2047,A Chaotic Life!,5.25,3.18,2015.00,16877.00,169.00,157.00,,Tenzi(2011),
2048,Bitin' Off Hedz,5.24,4.60,1996.00,16881.00,169.00,468.00,,Buckaroo!(1970),
2049,Nero,5.24,3.68,2002.00,16884.00,169.00,207.00,,List: $13.30Lowest Amazon: $4.85New Amazon: $13.30,
2050,CSI: Crime Scene Investigation – The Board Game,5.24,3.89,2004.00,16885.00,169.00,248.00,13.30,New Amazon: $13.30,List: $13.30Lowest Amazon: $4.85New Amazon: $13.30
2051,Mad Gab,5.24,5.01,1996.00,16886.00,169.00,1224.00,26.99,New Amazon: $41.49,List: $26.99Lowest Amazon: $9.99New Amazon: $41.49
2052,Uncle Wiggily,5.22,4.06,1916.00,16889.00,169.00,288.00,17.00,,List: $17.00New Amazon: $11.27
2053,Titanic: The Board Game,5.22,4.22,1998.00,16891.00,169.00,314.00,,Urban Myth(2002),Used Amazon: $74.91
2054,Man Bites Dog,5.20,4.68,2002.00,16894.00,169.00,698.00,12.99,New Amazon: $6.88,List: $12.99Lowest Amazon: $5.00New Amazon: $6.88
2055,Sim City: The Card Game,5.20,4.38,1994.00,16896.00,169.00,442.00,,Lowest Amazon: $14.59New Amazon: $21.99,
2056,Coaster Park,5.20,3.72,2017.00,16897.00,169.00,250.00,,,Lowest Amazon: $14.59New Amazon: $21.99
2057,Trivial Pursuit: Genus Edition,5.19,5.21,1981.00,16898.00,169.00,6880.00,29.99,New Amazon: $33.99,List: $29.99Lowest Amazon: $10.00New Amazon: $33.99
2058,The Game of Life (40th Anniversary Edition),5.19,4.47,1999.00,16899.00,169.00,495.00,37.99,New Amazon: $26.95,List: $37.99Lowest Amazon: $18.67New Amazon: $26.95
2059,The Hobbit: The Defeat of Smaug,5.19,4.83,2001.00,16900.00,169.00,1091.00,,"Geekdo, BoardGameGeek, the Geekdo logo, and the BoardGameGeek logo are trademarks of BoardGameGeek, LLC.",Lowest Amazon: $29.99New Amazon: $79.19
2060,Inhabit the Earth,6.18,7.06,2015.00,1601.00,17.00,953.00,,Neue Heimat(2007),New Amazon: $18.75
2061,Neue Heimat,6.18,7.30,2007.00,1602.00,17.00,740.00,,List: $49.95New Amazon: $37.99,
2062,Thanos Rising: Avengers Infinity War,6.18,7.26,2018.00,1603.00,17.00,935.00,49.95,,List: $49.95New Amazon: $37.99
2063,Dragonwood,6.18,6.80,2015.00,1604.00,17.00,1725.00,14.99,New Amazon: $14.90,List: $14.99Lowest Amazon: $10.99New Amazon: $14.90
2064,GOSU,6.18,6.58,2010.00,1605.00,17.00,2409.00,,Palazzo(2005),Used Amazon: $40.00
2065,Palazzo,6.18,6.55,2005.00,1606.00,17.00,2328.00,,,Lowest Amazon: $17.00New Amazon: $24.95
2066,Claustrophobia 1643,6.18,8.41,2019.00,1608.00,17.00,460.00,,List: $11.26Lowest Amazon: $9.48New Amazon: $11.26,
2067,Famiglia,6.18,6.49,2010.00,1609.00,17.00,2775.00,11.26,New Amazon: $11.26,List: $11.26Lowest Amazon: $9.48New Amazon: $11.26
2068,Days of Ire: Budapest 1956,6.18,7.46,2016.00,1610.00,17.00,698.00,,List: $28.04Lowest Amazon: $26.56New Amazon: $27.38,
2069,Onward to Venus,6.18,6.91,2014.00,1611.00,17.00,1170.00,28.04,New Amazon: $27.38,List: $28.04Lowest Amazon: $26.56New Amazon: $27.38
2070,Darkest Night (First edition),6.18,7.17,2012.00,1612.00,17.00,927.00,,Avenue(2016),Used Amazon: $49.98
2071,Avenue,6.18,6.95,2016.00,1613.00,17.00,1080.00,,New Amazon: $199.99,
2072,Star Wars Customizable Card Game,6.18,6.65,1995.00,1614.00,17.00,2147.00,,Scrabble(1948),New Amazon: $199.99
